epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1,lr
1,2.073047,2.571709,37.9884,53.7162,0.547433,0.000500
2,1.795104,2.434010,49.3488,54.3919,0.551759,0.000500
3,1.678277,2.310983,56.1505,65.8784,0.669914,0.000500
4,1.600225,2.411027,59.5514,61.1486,0.645577,0.000500
5,1.570225,2.202953,63.3140,71.6216,0.715163,0.000500
6,1.535609,2.216180,65.4848,72.9730,0.728416,0.000500
7,1.557083,2.188772,66.9320,73.3108,0.716359,0.000500
8,1.530950,2.376056,66.8596,61.8243,0.629483,0.000500
9,1.478536,2.251449,70.6946,73.6486,0.695680,0.000250
10,1.380265,2.217035,75.9768,71.9595,0.702299,0.000250
11,1.411393,2.134960,76.1216,75.3378,0.740578,0.000250
12,1.349974,2.096022,78.4370,78.0405,0.753814,0.000250
13,1.335154,2.065537,80.9696,81.7568,0.791557,0.000250
14,1.326274,2.118881,82.2721,78.3784,0.768128,0.000250
15,1.374439,2.097028,82.7062,78.0405,0.737586,0.000250
16,1.348203,2.040698,82.1997,82.7703,0.807823,0.000250
17,1.272994,2.080411,83.7192,80.7432,0.763840,0.000250
18,1.322451,2.183069,83.5745,78.7162,0.753318,0.000250
19,1.299618,2.043122,85.6006,83.4459,0.803476,0.000125
20,1.236125,2.051677,86.3242,82.4324,0.792606,0.000125
21,1.237713,2.020158,88.7120,83.1081,0.794641,0.000125
22,1.253594,1.995347,89.7250,86.1486,0.835009,0.000125
23,1.198597,2.017826,89.2909,86.1486,0.823183,0.000125
24,1.204185,1.997997,90.8104,83.7838,0.804922,0.000125
25,1.222709,2.001268,90.8104,84.4595,0.796343,0.000063
26,1.203446,2.000568,91.6064,85.4730,0.820986,0.000063
27,1.228373,2.020653,88.9291,84.4595,0.807307,0.000063
28,1.221373,2.015397,91.9682,84.4595,0.806146,0.000031
