epoch,train_loss,val_loss,train_acc,val_acc,lr
1,1.386487,1.474114,50.8683,48.3108,0.001
2,1.081405,0.853885,59.1172,66.8919,0.001
3,0.794852,0.819959,68.0174,70.9459,0.001
4,0.692300,1.071397,70.5499,67.5676,0.001
5,0.612858,0.745265,75.5427,77.7027,0.001
6,0.533357,0.719762,78.7988,73.3108,0.001
7,0.384565,1.097445,85.6006,72.9730,0.001
8,0.336154,0.879961,85.5282,75.6757,0.001
9,0.286096,0.852918,87.1925,77.7027,0.001
10,0.117232,0.679573,94.7178,84.4595,0.0005
11,0.061403,0.870867,97.6845,80.7432,0.0005
12,0.051528,0.971608,97.8292,80.4054,0.0005
13,0.044433,0.874715,97.9740,82.0946,0.0005
14,0.022005,0.983972,99.2764,82.0946,0.00025
