epoch,train_loss,val_loss,train_acc,val_acc,lr
1,1.762604,1.506501,31.9826,47.2973,0.001
2,1.466298,1.080340,47.3951,59.7973,0.001
3,1.308256,1.060003,51.0854,63.5135,0.001
4,1.237264,1.067450,55.3546,61.8243,0.001
5,1.167998,1.076309,56.8741,61.1486,0.001
6,1.047852,1.068583,58.0318,60.8108,0.001
7,0.842660,0.916618,65.2677,66.5541,0.0005
8,0.794934,0.909050,65.9190,66.8919,0.0005
9,0.720037,0.930185,69.1751,68.2432,0.0005
10,0.620349,1.237111,73.0825,54.7297,0.0005
11,0.528711,1.427347,76.1939,52.3649,0.0005
12,0.355756,1.056474,81.2590,65.8784,0.00025
