epoch,train_loss,val_loss,train_acc,val_acc,lr
1,3.749809,8.740136,5.1375,11.8243,0.000206
2,3.512010,9.316526,12.0839,14.1892,0.000458
3,3.377600,9.045985,15.1230,14.5270,0.000499
4,3.147211,9.808044,17.5109,20.6081,0.000495
5,3.359464,8.986355,18.3068,23.3108,0.000485
6,3.113023,8.737161,20.6946,18.9189,0.000471
7,2.927045,8.937813,22.2142,24.3243,0.000452
8,3.097989,8.479690,24.8191,16.5541,0.000430
9,3.065026,9.183662,24.7467,23.3108,0.000404
10,3.107074,8.695850,27.7858,26.6892,0.000375
11,2.735870,8.466365,29.5948,25.6757,0.000344
12,2.763592,8.433677,31.5485,20.2703,0.000310
13,2.605896,8.388970,33.5745,20.6081,0.000276
14,2.697908,8.214312,35.5282,18.2432,0.000241
15,2.589748,8.308132,36.2518,20.9459,0.000207
16,2.492713,8.138518,37.7713,17.5676,0.000173
17,2.484894,8.233389,37.1925,21.6216,0.000141
18,2.430465,8.167971,37.9884,20.9459,0.000110
19,2.736100,8.161557,38.4949,19.5946,0.000083
20,2.400319,8.159307,38.2055,20.6081,0.000059
21,2.575198,8.246272,38.7120,19.2568,0.000038
