epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1,lr
1,2.118675,3.267392,35.8177,2.7027,0.026647,0.000500
2,1.824810,2.421084,48.4805,51.6892,0.546383,0.000500
3,1.713437,2.456839,56.8741,57.4324,0.578230,0.000500
4,1.623724,2.393388,57.8148,68.2432,0.635476,0.000500
5,1.585838,2.271580,61.7945,70.9459,0.678543,0.000500
6,1.609414,2.394374,62.7352,61.1486,0.629055,0.000500
7,1.523471,2.166952,67.0767,67.9054,0.676795,0.000500
8,1.527928,2.249967,65.3401,65.5405,0.641806,0.000250
9,1.465108,2.287267,72.4313,63.1757,0.625530,0.000250
10,1.388719,2.256528,73.8061,66.2162,0.649839,0.000250
11,1.340885,2.121903,76.4110,77.0270,0.751535,0.000250
12,1.387614,2.178121,76.2663,69.5946,0.704155,0.000250
13,1.368555,2.119517,79.7395,74.3243,0.725051,0.000250
14,1.337685,2.100245,79.8842,77.3649,0.744389,0.000125
15,1.301521,2.086223,81.9826,79.7297,0.781176,0.000125
16,1.296440,2.051644,84.2258,82.0946,0.821933,0.000125
17,1.324702,2.126346,83.3575,77.3649,0.777057,0.000125
18,1.304213,2.054009,85.1664,79.0541,0.769139,0.000125
19,1.287152,1.997124,84.7323,83.1081,0.821169,0.000063
20,1.277865,1.998516,85.3111,83.7838,0.822128,0.000063
21,1.258947,1.990823,86.6860,82.7703,0.814176,0.000063
22,1.237132,2.000662,86.3965,82.4324,0.809406,0.000063
23,1.222675,1.983571,86.9754,83.4459,0.813131,0.000031
24,1.225269,1.977613,88.8567,85.1351,0.829614,0.000031
25,1.197351,1.978013,90.0145,85.4730,0.832560,0.000031
26,1.197211,1.964748,89.0738,85.1351,0.826859,0.000031
27,1.218796,1.977775,89.4356,84.7973,0.824893,0.000031
28,1.245660,1.977601,90.3763,84.1216,0.804055,0.000016
29,1.207473,1.970764,89.2909,84.4595,0.820962,0.000016
30,1.230558,1.968933,90.1592,84.7973,0.816317,0.000016
