epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1,lr
1,2.603670,3.199213,12.8075,11.1486,0.094559,0.000500
2,2.558775,3.089196,15.4124,17.2297,0.167791,0.000500
3,2.475026,3.454633,13.1693,10.4730,0.106252,0.000500
4,2.473804,3.146958,14.5441,10.4730,0.135017,0.000500
5,2.453609,3.175894,13.4588,13.1757,0.131533,0.000250
6,2.407319,2.968349,16.0637,19.5946,0.162887,0.000250
7,2.339156,2.956257,17.7279,12.8378,0.144249,0.000250
8,2.379962,2.962242,16.4978,16.8919,0.193989,0.000250
9,2.349223,3.181862,18.2344,16.5541,0.191150,0.000250
10,2.331888,3.018021,19.3922,19.5946,0.187570,0.000250
11,2.303096,2.976425,19.6093,21.6216,0.231350,0.000250
12,2.297793,3.031004,20.6223,22.2973,0.238199,0.000250
13,2.285523,3.110354,20.6223,15.2027,0.160166,0.000250
14,2.298787,2.976675,22.0695,20.9459,0.229539,0.000250
15,2.273129,2.963500,22.2865,16.8919,0.170451,0.000125
16,2.236345,2.942841,27.2069,20.9459,0.220643,0.000125
17,2.236610,2.962349,23.2272,20.6081,0.212169,0.000125
18,2.245727,2.940611,24.8191,21.2838,0.224134,0.000063
