epoch,train_loss,val_loss,train_acc,val_acc,val_macro_f1,lr
1,2.110704,2.548307,36.3242,36.8243,0.440237,0.000500
2,1.708276,2.450358,52.1708,65.8784,0.623182,0.000500
3,1.657033,2.460619,58.3936,62.8378,0.614094,0.000500
4,1.591494,2.406216,62.4457,61.1486,0.609385,0.000500
5,1.556434,2.381910,66.6425,57.0946,0.588898,0.000250
6,1.499722,2.247779,71.4182,69.2568,0.693734,0.000250
7,1.365538,2.223591,75.0362,69.5946,0.681897,0.000250
8,1.379814,2.289367,77.4964,73.6486,0.683655,0.000250
9,1.358245,2.218855,77.0622,74.3243,0.707149,0.000250
10,1.348300,2.149758,80.6078,76.0135,0.733154,0.000250
11,1.305034,2.198576,83.2127,75.3378,0.732824,0.000250
12,1.302552,2.121293,85.0941,76.3514,0.738772,0.000250
13,1.316744,2.134603,85.3111,79.3919,0.758960,0.000250
14,1.248505,2.111619,85.4559,80.4054,0.766675,0.000250
15,1.223474,2.182473,87.1201,74.3243,0.724552,0.000250
16,1.207167,2.148872,88.8567,77.7027,0.733763,0.000250
17,1.228880,2.144971,88.9291,78.7162,0.755903,0.000125
18,1.204272,2.133050,89.7974,77.7027,0.737471,0.000125
19,1.188612,2.177659,92.4023,78.3784,0.742319,0.000125
20,1.159065,2.122958,92.7641,78.0405,0.736205,0.000063
