category,filename,duration_sec,sample_rate,spectrogram_exists
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_013201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_013201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_013201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_051201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_051201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_051201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_053401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_053401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_053401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_055601_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_055601_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_055601_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_080801_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_080801_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_080801_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_085201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_085201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_085201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_091401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_091401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_091401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_142201_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_142201_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_142201_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_144401_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_144401_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_144401_3.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_150601_1.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_150601_2.wav,60.0,96000,False
0 ActividadBASE_NO pattern activity,SM301165__0__20161001_150601_3.wav,60.0,96000,False
