true,predicted,confidence
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.297
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.403
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.333
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.513
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.394
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.324
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.261
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.524
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.518
1 Pulses HAMMERING,6 Machinery continuous activity,0.52
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.69
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.509
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.341
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.335
2 Marked cycles 3 segundos,3 Continuous activity & tone 3.15kHz_SPL,0.595
2 Marked cycles 3 segundos,3 Continuous activity & tone 3.15kHz_SPL,0.578
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.292
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.281
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.648
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.978
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.997
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.352
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.298
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.313
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.538
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.359
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.286
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.202
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.585
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.544
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.487
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.703
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.373
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.562
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.838
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.54
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.427
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.374
4 Continuous activity & tone 3.15kHz_ SP,0 ActividadBASE_NO pattern activity,0.373
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.53
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.562
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.385
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.236
5 Blasts,7 Works_ sirens and knocks en altas frec,0.746
6 Machinery continuous activity,7 Works_ sirens and knocks en altas frec,0.572
6 Machinery continuous activity,1 Pulses HAMMERING,0.917
6 Machinery continuous activity,1 Pulses HAMMERING,0.351
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.547
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.512
6 Machinery continuous activity,1 Pulses HAMMERING,0.698
