true,predicted,confidence
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.336
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.44
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.365
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.235
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.409
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.477
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.523
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.578
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.8
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.609
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.249
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.413
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.22
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.53
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.176
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.991
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.59
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.271
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.53
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.371
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.365
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.336
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.656
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.313
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.551
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.86
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.779
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.424
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.345
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.27
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.701
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.339
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.226
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.263
5 Blasts,7 Works_ sirens and knocks en altas frec,0.809
6 Machinery continuous activity,0 ActividadBASE_NO pattern activity,0.536
6 Machinery continuous activity,7 Works_ sirens and knocks en altas frec,0.359
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.355
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.444
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.404
