true,predicted,confidence
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.207
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.771
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.444
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.621
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.358
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.247
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.831
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.32
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.34
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.552
0 ActividadBASE_NO pattern activity,1 Pulses HAMMERING,0.164
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.209
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.487
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.968
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.251
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.998
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.198
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.208
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.554
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.325
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.207
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.184
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.754
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.342
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.171
0 ActividadBASE_NO pattern activity,2 Marked cycles 3 segundos,0.358
1 Pulses HAMMERING,2 Marked cycles 3 segundos,0.849
1 Pulses HAMMERING,2 Marked cycles 3 segundos,0.165
1 Pulses HAMMERING,2 Marked cycles 3 segundos,0.312
1 Pulses HAMMERING,2 Marked cycles 3 segundos,0.536
1 Pulses HAMMERING,0 ActividadBASE_NO pattern activity,0.17
1 Pulses HAMMERING,2 Marked cycles 3 segundos,0.396
2 Marked cycles 3 segundos,0 ActividadBASE_NO pattern activity,0.237
2 Marked cycles 3 segundos,0 ActividadBASE_NO pattern activity,0.994
2 Marked cycles 3 segundos,6 Machinery continuous activity,0.389
2 Marked cycles 3 segundos,6 Machinery continuous activity,0.953
2 Marked cycles 3 segundos,0 ActividadBASE_NO pattern activity,0.365
2 Marked cycles 3 segundos,5 Blasts,0.64
2 Marked cycles 3 segundos,0 ActividadBASE_NO pattern activity,0.69
2 Marked cycles 3 segundos,6 Machinery continuous activity,0.671
2 Marked cycles 3 segundos,0 ActividadBASE_NO pattern activity,0.207
2 Marked cycles 3 segundos,5 Blasts,0.162
2 Marked cycles 3 segundos,7 Works_ sirens and knocks en altas frec,0.147
2 Marked cycles 3 segundos,0 ActividadBASE_NO pattern activity,0.211
2 Marked cycles 3 segundos,1 Pulses HAMMERING,0.176
2 Marked cycles 3 segundos,7 Works_ sirens and knocks en altas frec,0.163
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.46
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.187
