true,predicted,confidence
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.614
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.465
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.242
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.564
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.343
0 ActividadBASE_NO pattern activity,6 Machinery continuous activity,0.319
0 ActividadBASE_NO pattern activity,1 Pulses HAMMERING,0.216
0 ActividadBASE_NO pattern activity,3 Continuous activity & tone 3.15kHz_SPL,0.43
0 ActividadBASE_NO pattern activity,4 Continuous activity & tone 3.15kHz_ SP,0.593
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.534
1 Pulses HAMMERING,3 Continuous activity & tone 3.15kHz_SPL,0.577
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.489
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.61
2 Marked cycles 3 segundos,4 Continuous activity & tone 3.15kHz_ SP,0.715
2 Marked cycles 3 segundos,3 Continuous activity & tone 3.15kHz_SPL,0.564
2 Marked cycles 3 segundos,3 Continuous activity & tone 3.15kHz_SPL,0.468
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.278
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.229
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.811
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.482
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.581
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.823
3 Continuous activity & tone 3.15kHz_SPL,6 Machinery continuous activity,0.526
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.822
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.24
3 Continuous activity & tone 3.15kHz_SPL,7 Works_ sirens and knocks en altas frec,0.24
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.501
3 Continuous activity & tone 3.15kHz_SPL,0 ActividadBASE_NO pattern activity,0.773
3 Continuous activity & tone 3.15kHz_SPL,2 Marked cycles 3 segundos,0.661
3 Continuous activity & tone 3.15kHz_SPL,1 Pulses HAMMERING,0.283
3 Continuous activity & tone 3.15kHz_SPL,4 Continuous activity & tone 3.15kHz_ SP,0.488
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.542
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.671
4 Continuous activity & tone 3.15kHz_ SP,2 Marked cycles 3 segundos,0.513
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.524
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.643
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.489
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.381
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.33
4 Continuous activity & tone 3.15kHz_ SP,1 Pulses HAMMERING,0.276
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.394
4 Continuous activity & tone 3.15kHz_ SP,3 Continuous activity & tone 3.15kHz_SPL,0.335
5 Blasts,7 Works_ sirens and knocks en altas frec,0.972
5 Blasts,7 Works_ sirens and knocks en altas frec,0.522
6 Machinery continuous activity,1 Pulses HAMMERING,0.326
6 Machinery continuous activity,7 Works_ sirens and knocks en altas frec,0.881
6 Machinery continuous activity,1 Pulses HAMMERING,0.485
6 Machinery continuous activity,1 Pulses HAMMERING,0.969
6 Machinery continuous activity,1 Pulses HAMMERING,0.758
6 Machinery continuous activity,1 Pulses HAMMERING,0.837
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.57
6 Machinery continuous activity,1 Pulses HAMMERING,0.588
6 Machinery continuous activity,1 Pulses HAMMERING,0.39
6 Machinery continuous activity,3 Continuous activity & tone 3.15kHz_SPL,0.273
6 Machinery continuous activity,1 Pulses HAMMERING,0.45
7 Works_ sirens and knocks en altas frec,6 Machinery continuous activity,0.531
7 Works_ sirens and knocks en altas frec,3 Continuous activity & tone 3.15kHz_SPL,0.491
